Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,2.2408044897780126,2.1538516879081726,18.348,25.69,32.16797757148743
2,2.100633902209146,2.0051086843013763,24.562,28.78,32.00871419906616
3,1.9891253430016187,1.9011890232563018,28.582,33.26,31.90957999229431
4,1.9207775702281875,1.8466005980968476,31.166,34.64,32.29079055786133
5,1.8684517729039094,1.7978940725326538,32.834,35.42,32.348836183547974
6,1.820424418060147,1.7338196635246277,34.868,38.36,31.961315870285034
7,1.7814747155929098,1.7767047584056854,35.838,36.7,32.65536379814148
8,1.7480266738911063,1.6728106379508971,37.26,40.53,32.059969902038574
9,1.7102728790166426,1.6239587366580963,38.31,42.32,31.683404684066772
10,1.6738856082059899,1.5967800557613372,39.534,42.81,31.385992527008057
11,1.657228745976273,1.5517586171627045,40.322,44.27,31.580262899398804
12,1.6243693001416264,1.5738898277282716,41.404,43.83,31.86830735206604
13,1.6097247041001612,1.5111862421035767,41.798,45.77,32.947465658187866
14,1.5882375544431258,1.488058966398239,42.82,46.77,33.209264516830444
15,1.5751915610566432,1.4986239075660706,43.162,46.22,32.044724225997925
16,1.5531777252956314,1.4875816822052002,44.042,46.63,32.33252739906311
17,1.5368210503033228,1.4418873012065887,44.412,48.22,31.978621006011963
18,1.5260154884688708,1.42535160779953,44.978,49.09,32.153725385665894
19,1.5130595795962276,1.4427152574062347,45.526,47.92,32.11743116378784
20,1.498685820978515,1.4056142807006835,45.834,50.01,33.125319480895996
