Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,2.035630672561879,1.743398654460907,25.93,37.74,29.697989463806152
2,1.6702283499192219,1.5431706368923188,38.636,43.59,29.375284671783447
3,1.5334421031329097,1.4054991841316222,44.306,49.33,29.208258390426636
4,1.4556496532595888,1.3241839826107025,47.564,52.98,29.31716012954712
5,1.388247171226813,1.2672530889511109,49.83,54.15,29.440115451812744
6,1.3323487262336575,1.187198168039322,51.86,58.66,29.17969560623169
7,1.2689480769390962,1.1231320440769195,54.398,60.27,29.336291551589966
8,1.217852914819912,1.0856394529342652,56.428,62.32,29.330265283584595
9,1.182494501678311,1.0375812113285066,57.83,63.42,29.279069185256958
10,1.1405347755977087,1.0276092797517777,59.35,63.77,29.54725432395935
11,1.1062655211711416,0.9943970918655396,60.692,64.93,29.42650842666626
12,1.077610515818304,0.9465324580669403,61.864,67.12,29.241421461105347
13,1.0481136793992958,0.9266707718372345,62.842,67.6,29.658317804336548
14,1.0321996309319321,0.9007396221160888,63.48,69.29,29.27184557914734
15,1.0085059963926977,0.8799283862113952,64.404,69.48,29.294161319732666
16,0.9845300730393858,0.8736270248889924,65.2,69.91,29.239500284194946
17,0.9688710862276505,0.8583427608013153,65.888,70.89,29.571481704711914
18,0.9522463703642086,0.8355975449085236,66.432,71.2,29.280377864837646
19,0.9368887932933107,0.8418867975473404,66.916,70.76,29.36496114730835
20,0.9265176185539791,0.8380547881126403,67.05,71.03,29.627329349517822
