Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,2.0323230149794598,1.741043621301651,26.274,37.58,34.39279055595398
2,1.6932001831580181,1.5231834411621095,38.606,45.38,35.67321443557739
3,1.5515375027851181,1.4022957980632782,43.65,50.06,36.46846866607666
4,1.4685178082816455,1.3108514547348022,46.766,52.91,35.71877360343933
5,1.4027068359511239,1.235416430234909,49.286,56.27,35.1952428817749
6,1.3522368645181462,1.2096921145915984,51.114,57.11,35.17039132118225
7,1.290523387947861,1.1346889972686767,53.398,59.94,35.116621255874634
8,1.2570158304000387,1.123336410522461,54.808,60.42,35.094358682632446
9,1.1995677607400077,1.0382697016000748,56.876,63.68,35.165677070617676
10,1.1728997875233085,1.032803538441658,58.03,63.83,35.15785455703735
11,1.1341596695841576,0.9940036475658417,59.646,65.73,35.28336977958679
12,1.0984246609162311,0.9745117515325546,60.774,65.66,35.11619758605957
13,1.0667087405311817,0.9284292548894882,62.158,67.91,35.32802200317383
14,1.0451276764577748,0.9169150739908218,62.824,68.5,35.213420391082764
15,1.0239214538311472,0.9061784684658051,63.746,68.79,35.18415427207947
16,0.9972645214625767,0.8891935497522354,64.72,69.47,35.32281970977783
17,0.9875194253970165,0.867905443906784,65.028,70.2,34.66542649269104
18,0.9677331940251954,0.845510083436966,65.664,71.39,34.498849868774414
19,0.9505429918668709,0.8257753431797028,66.194,72.03,34.358811378479004
20,0.9296925548388033,0.7994500458240509,67.224,72.57,34.81013226509094
