Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,2.2499588898250034,2.171945023536682,18.312,23.2,29.557109117507935
2,2.120887267346285,2.0417553663253782,23.606,27.23,29.418522834777832
3,2.0234199555552737,1.9603914141654968,27.154,30.3,29.26146936416626
4,1.9543032658343413,1.8890547096729278,29.742,33.42,29.307635068893433
5,1.902645090404822,1.843346506357193,31.736,34.57,29.280841588974
6,1.8528397265745669,1.7850014507770537,33.41,36.31,29.3208270072937
7,1.8043704519466477,1.7333445012569428,35.19,37.91,29.334077835083008
8,1.7591181543408607,1.6726133167743682,36.628,40.1,29.14045763015747
9,1.7146572057081728,1.6687139868736267,38.342,39.6,29.174277544021606
10,1.683908374942079,1.643828958272934,38.878,41.27,29.53817105293274
11,1.6562150631632124,1.60692857503891,40.064,42.43,29.31738042831421
12,1.6263732204631882,1.5681044995784759,40.906,43.31,29.125507831573486
13,1.6064084829116354,1.5260034501552582,41.794,45.32,29.164724111557007
14,1.5823490668316276,1.5187852680683136,42.594,45.18,29.15991735458374
15,1.5708930224788433,1.5095604598522185,43.242,45.61,29.089152097702026
16,1.5544666927687976,1.4650938630104064,43.88,46.66,29.14564538002014
17,1.535362361645212,1.4510053515434265,44.384,47.5,29.12883710861206
18,1.5216734774258671,1.4280467271804809,44.892,48.35,29.18798327445984
19,1.506167853365139,1.4687481999397278,45.598,47.45,29.34623646736145
20,1.4976428443071794,1.4457062602043151,45.966,48.24,29.52557349205017
