Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,3.755839834407884,3.3639985799789427,12.888,19.23,33.72853207588196
2,3.1678949862110373,3.1394707322120667,22.204,23.61,33.434268951416016
3,2.879355255438357,2.858862745761871,27.674,29.23,33.5772864818573
4,2.6628642860724003,2.656114375591278,31.672,33.34,34.07991313934326
5,2.4619513944703706,2.491642510890961,35.924,36.12,33.48932886123657
6,2.331254073551723,2.4510499835014343,38.394,37.1,33.54952526092529
7,2.2025364540061174,2.2550307393074034,41.19,41.24,33.61756253242493
8,2.0909227595037345,2.33582079410553,43.804,39.97,33.26791572570801
9,1.991773244069547,2.2958468556404115,45.998,40.86,33.51667547225952
10,1.8979384230107677,2.1577499508857727,47.982,43.54,34.02097940444946
11,1.833876896877678,2.1010385513305665,49.572,44.44,33.75270438194275
12,1.744385109872234,2.0619445204734803,51.522,46.01,33.30138325691223
13,1.6664798965259475,2.1382755994796754,53.286,44.99,33.472424268722534
14,1.6027245740501248,2.1012541472911836,54.894,45.92,34.053760290145874
15,1.5167062233905404,2.0637971103191375,56.866,46.5,33.897592306137085
16,1.4695575176453104,2.100944423675537,58.026,46.43,33.494112968444824
17,1.4020683193693355,2.076868849992752,59.648,47.45,33.4300537109375
18,1.3219796005560427,2.2084370255470276,61.636,46.46,33.74240446090698
19,1.2563886314022297,2.0662384033203125,63.14,48.79,33.55598521232605
20,1.1985399358126583,2.115472763776779,64.558,47.84,33.55432963371277
