Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,3.785299778594385,3.43980500348814,12.07,19.27,63.48613357543945
2,3.2003572728018015,2.982486738520823,21.282,25.73,62.701109886169434
3,2.8629793791514833,2.742949268620485,27.552,30.51,61.634087800979614
4,2.62778406710271,2.4805079083533803,32.236,36.35,60.96964120864868
5,2.449104798876721,2.324984091861992,35.904,38.92,62.23651742935181
6,2.298267506882358,2.2511780983323506,38.854,40.73,61.63960886001587
7,2.1805096178713357,2.1386960592998823,41.5,43.35,61.29611587524414
8,2.069788163275365,2.112718283750449,44.02,44.48,66.25602722167969
9,1.9717929575144482,2.1482309900271663,46.484,44.11,69.69315314292908
10,1.8804365705955974,2.031356326334036,48.48,46.61,69.51754450798035
11,1.8036201942302381,1.9660575982112034,50.018,47.89,67.88515973091125
12,1.726493152968414,1.9803515467674109,51.514,47.78,67.87296867370605
13,1.6500865297244334,1.9773345449168211,53.57,48.26,68.24203133583069
14,1.5825150183704504,1.9863451020732807,55.248,48.19,63.50636959075928
15,1.5180090054526658,1.9319528440001663,56.904,50.13,61.61245894432068
16,1.4509531833479166,1.9278253316879272,58.23,50.34,61.24559473991394
17,1.3958888193378058,1.9074287520852058,59.734,51.7,68.25375294685364
18,1.3365072203261772,1.9045954198594306,61.138,51.7,69.38483667373657
19,1.2725768488691287,1.8756939149965906,62.85,52.09,70.4332127571106
20,1.2196114695133151,1.9640172120112522,63.944,51.21,71.63736486434937
