Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,3.94221554509819,3.5399795368218876,9.892,16.16,67.737140417099
2,3.431966816677767,3.1963758301583067,17.476,22.18,65.1991376876831
3,3.141093062622773,2.9332910965962014,22.536,27.03,63.76916813850403
4,2.917880429636182,2.71772710988476,26.806,30.89,64.1370177268982
5,2.723250616846792,2.551906766405531,30.214,34.64,64.45505547523499
6,2.551856557121667,2.433830987116334,33.818,37.39,63.58033490180969
7,2.447561852614898,2.3464564138157353,36.168,38.88,64.48095297813416
8,2.329984308508656,2.287927414960922,38.512,39.67,63.974799394607544
9,2.232615010970084,2.1599427750156184,40.608,43.11,62.03556847572327
10,2.1327852051886147,2.16326604679132,42.574,43.08,66.50569820404053
11,2.0509734335153,2.076478686302331,44.644,45.02,61.05447506904602
12,1.9647582522438616,2.008892133737066,46.572,46.51,60.94591522216797
13,1.889950681525423,2.007539471243597,48.096,47.28,61.06019186973572
14,1.8097788927805087,1.945153991128229,50.2,48.53,61.31203246116638
15,1.7391784654553895,1.9521156071097987,51.672,48.67,61.375131368637085
16,1.6690644585263088,1.9530566634645887,53.2,48.61,61.2431755065918
17,1.5989967743149194,1.9057394850785565,54.902,50.32,61.69224524497986
18,1.541191088878895,1.871430769088162,56.124,50.9,61.33873772621155
19,1.4763911778054883,1.859700508937714,57.742,51.29,61.7476761341095
20,1.4022199242468685,1.8933814133808111,59.506,51.41,63.95677137374878
