Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.072285440503334,3.6299997925758363,8.65,15.58,35.60350275039673
2,3.484754499124021,3.310624563694,17.064,20.34,35.88394904136658
3,3.2158913198782475,3.12474205493927,21.622,23.41,35.50223469734192
4,3.012742439094855,2.940111744403839,25.274,27.29,35.644646406173706
5,2.848801243061922,2.8608123898506164,28.294,28.61,35.760074615478516
6,2.7095358469048323,2.75301513671875,31.06,31.05,35.30303335189819
7,2.58992439386796,2.6777224063873293,32.972,33.09,35.71131873130798
8,2.478589344997795,2.5644824385643004,35.77,34.69,35.59950113296509
9,2.386339017323085,2.4931721925735473,37.512,36.49,35.58769917488098
10,2.2945819874199067,2.4871230483055116,39.412,36.83,35.93172550201416
11,2.2195385280920537,2.3862758040428163,41.184,38.73,35.66697835922241
12,2.1488582345904135,2.3646592617034914,42.722,39.6,35.879197120666504
13,2.0743205401362204,2.3595789194107057,44.264,39.4,35.9145827293396
14,2.0130133701830495,2.337262451648712,45.592,39.89,35.59405517578125
15,1.9524179088826081,2.3112742424011232,47.056,40.61,35.796217918395996
16,1.887586571732346,2.245328187942505,48.676,41.9,35.54059958457947
17,1.815357468566116,2.227823460102081,50.298,43.19,35.553094148635864
18,1.7718637099071426,2.303414011001587,50.926,41.89,35.41793608665466
19,1.718092071766756,2.337612807750702,52.254,41.52,35.574122190475464
20,1.6623350990061858,2.2337590932846068,53.76,43.47,35.648624420166016
