Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.510949913336306,4.243891191482544,3.58,6.45,35.197529792785645
2,4.11772667631811,3.965169095993042,8.078,10.19,35.39760208129883
3,3.907623385896488,3.806210768222809,10.884,12.58,35.29932403564453
4,3.7645391712383347,3.691088306903839,12.956,13.9,35.444754123687744
5,3.661596704502495,3.5895607471466064,14.642,16.42,35.25069260597229
6,3.570272759515412,3.5114572405815125,16.18,17.2,35.47780966758728
7,3.4934874408099117,3.4379847049713135,17.048,18.91,35.45903706550598
8,3.42952836532982,3.387273979187012,18.24,19.52,35.236876010894775
9,3.369263712240725,3.3172712683677674,19.436,20.83,35.37414336204529
10,3.310164587838309,3.2641804337501528,20.574,21.9,35.39163160324097
11,3.2591185545434755,3.21850426197052,21.3,22.55,35.2809419631958
12,3.2086784596345863,3.1691633224487306,22.002,23.65,35.3804030418396
13,3.16110732360762,3.131226634979248,23.284,24.38,35.3219530582428
14,3.1141340854216595,3.1245086073875425,24.02,24.48,35.3319206237793
15,3.0731115122230683,3.064541184902191,24.796,25.38,35.23833227157593
16,3.0340185700630653,3.0484851598739624,25.354,25.45,35.58925485610962
17,2.9938523112511146,3.0195961236953734,26.18,26.24,35.31787061691284
18,2.9558867678350333,3.0054604172706605,26.92,26.33,35.29203748703003
19,2.9186910439510734,2.9576096415519713,27.616,27.19,35.342671632766724
20,2.880089304885086,2.9115171670913695,28.294,28.17,35.369407415390015
