Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.034977168452983,4.622526741027832,8.396,7.88,37.42403697967529
2,3.5909439568616905,3.532364845275879,14.676,16.77,37.67205572128296
3,3.319431786634484,3.2204928517341616,19.532,21.11,37.7524311542511
4,3.124999768879949,3.0387245297431944,22.914,25.1,37.50006890296936
5,2.95442952185261,2.9615146279335023,26.018,26.56,37.36450242996216
6,2.8214163366629155,2.798865222930908,28.696,29.76,37.12731146812439
7,2.6874339531879037,2.6978190422058104,31.282,32.03,37.10771203041077
8,2.5632153165583706,2.6422701835632325,33.948,34.06,36.728191614151
9,2.4420574587218615,2.489106559753418,36.134,36.53,37.40306258201599
10,2.3306479964937483,2.486847496032715,38.506,36.87,38.88131332397461
11,2.2379476099598166,2.3606826782226564,40.45,39.45,38.77718949317932
12,2.142137651540795,2.346738862991333,42.79,40.37,37.801602840423584
13,2.0521885935141118,2.3150167584419252,44.56,41.29,37.867369413375854
14,1.976570234006765,2.269441914558411,46.206,42.24,37.65395951271057
15,1.878709844180516,2.2694719314575194,48.252,42.18,38.04256510734558
16,1.824353731408411,2.2533247113227843,49.556,42.93,37.93471837043762
17,1.744241090453401,2.190455234050751,51.482,44.63,37.73244500160217
18,1.6676352924230147,2.3083182334899903,53.162,42.82,37.76122570037842
19,1.6176300815173559,2.1796366572380066,54.472,45.38,37.61468029022217
20,1.5368356254636024,2.17791953086853,56.19,44.68,37.6284077167511
