Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,4.192832837299425,3.7130650639533997,6.54,14.26,32.23731851577759
2,3.693104563927164,3.391036128997803,13.26,19.52,31.39557456970215
3,3.452927883790464,3.1787886738777162,17.38,23.6,32.79642081260681
4,3.299701474150833,3.0213860750198362,19.986,26.16,32.79449248313904
5,3.1737111417614683,2.916625607013702,22.166,28.11,32.38032937049866
6,3.0925149187749748,2.8147026658058167,23.862,30.54,31.987318992614746
7,3.019601911914592,2.7176823735237123,25.41,32.13,31.885906457901
8,2.9540582943935783,2.6464745879173277,26.516,33.65,31.844199895858765
9,2.8958431068731816,2.618485128879547,27.83,34.1,32.001404762268066
10,2.8461040477363433,2.5472219467163084,28.532,34.97,32.56209373474121
11,2.8044996748165207,2.519301009178162,29.402,35.96,32.1953821182251
12,2.7711101770401,2.4883542537689207,30.028,36.55,31.955071687698364
13,2.745859384536743,2.4566883563995363,30.576,36.93,32.14811372756958
14,2.7134160703542283,2.447213876247406,31.214,37.22,31.99086594581604
15,2.679735670284349,2.3857942819595337,31.794,38.53,31.826467275619507
16,2.6581510840630043,2.380750131607056,32.158,38.42,32.19363760948181
17,2.6450055764645946,2.3713199734687804,32.448,39.1,31.850675582885742
18,2.6172344246689154,2.3669278979301454,33.078,38.97,31.942989826202393
19,2.602757290918,2.3387609004974363,33.346,39.44,31.967836380004883
20,2.580951430359665,2.324841058254242,33.668,40.15,32.42794680595398
