Epoch,Train Loss,Test Loss,Train Acc,Test Acc,Epoch Time
1,3.9985457280712664,3.5687299260667933,8.416,15.29,35.749223470687866
2,3.535156159449721,3.2304552299961165,15.482,21.4,35.2780864238739
3,3.3537967729446527,3.03631277904389,18.762,25.13,35.178072929382324
4,3.251458943652375,2.9546838490067016,20.504,26.24,35.23960852622986
5,3.1948035876159473,2.8925599581117085,21.68,27.92,35.280174016952515
6,3.1501362442665393,2.8566667608394742,22.36,27.93,35.21152448654175
7,3.1101409748692035,2.8249005998016163,23.02,28.62,35.221349477767944
8,3.075889483437209,2.8071184052023916,23.682,28.75,35.28472375869751
9,3.0602481514596573,2.767853395194764,23.822,29.54,35.53943967819214
10,3.0480602385138003,2.7594879660636757,23.94,29.84,35.99406933784485
11,3.023593565387189,2.7804571352187235,24.542,30.07,35.498321771621704
12,3.019128614679322,2.78210683233419,24.622,30.09,35.35258865356445
13,3.000902286880766,2.72220417648364,24.91,30.49,35.473154067993164
14,2.972931484737055,2.698940729639333,25.358,31.08,35.46390724182129
15,2.978492126440453,2.713613514687605,25.576,30.88,35.427396059036255
16,2.967947042506674,2.6717531999964623,25.598,31.89,35.424947023391724
17,2.959571963990741,2.7741932671540863,25.72,30.43,35.31384468078613
18,2.9543599960444222,2.6985583593890925,26.164,31.14,35.40118217468262
19,2.964063462698856,2.701560495765346,25.73,30.52,35.43910789489746
20,2.9404463103360228,2.69233479925022,26.414,31.26,35.991337060928345
