,final_mean,final_std,best_mean,best_std,num_runs,noise_table
CIFAR100|noise_0.0|SGD,13.166,0.22339203208709107,13.166,0.22339203208709107,5.0,
CIFAR100|noise_0.0|Momentum,34.76,0.643397233441363,34.769999999999996,0.6463435618925893,5.0,
CIFAR100|noise_0.0|Adam,40.824,0.5605568659823916,40.85,0.5544005772002777,5.0,
CIFAR100|noise_0.0|SR-Adam,42.73799999999999,1.0857513527507132,42.742,1.0850511508680147,5.0,
CIFAR100|noise_0.05|SGD,13.2,0.44195022344150897,13.2,0.44195022344150897,5.0,
CIFAR100|noise_0.05|Momentum,34.632,0.6639698788348758,34.632,0.6639698788348758,5.0,
CIFAR100|noise_0.05|Adam,40.19199999999999,0.6023088908525256,40.245999999999995,0.6001533137457474,5.0,
CIFAR100|noise_0.05|SR-Adam,41.498,1.2034849396648055,41.5,1.202630450304664,5.0,
CIFAR100|noise_0.1|SGD,13.232,0.39554519337238814,13.232,0.39554519337238814,5.0,
CIFAR100|noise_0.1|Momentum,34.378,0.6349929133462814,34.378,0.6349929133462814,5.0,
CIFAR100|noise_0.1|Adam,39.024,0.5443013871009339,39.142,0.5496689913029483,5.0,
CIFAR100|noise_0.1|SR-Adam,40.076,0.5049197956111436,40.42999999999999,0.2950254226333714,5.0,
CIFAR100|simplecnn,,,,,,"{'SGD': [{'noise': 0.0, 'final_mean': 13.166, 'final_std': 0.22339203208709107}, {'noise': 0.05, 'final_mean': 13.2, 'final_std': 0.44195022344150897}, {'noise': 0.1, 'final_mean': 13.232, 'final_std': 0.39554519337238814}], 'Momentum': [{'noise': 0.0, 'final_mean': 34.76, 'final_std': 0.643397233441363}, {'noise': 0.05, 'final_mean': 34.632, 'final_std': 0.6639698788348758}, {'noise': 0.1, 'final_mean': 34.378, 'final_std': 0.6349929133462814}], 'Adam': [{'noise': 0.0, 'final_mean': 40.824, 'final_std': 0.5605568659823916}, {'noise': 0.05, 'final_mean': 40.19199999999999, 'final_std': 0.6023088908525256}, {'noise': 0.1, 'final_mean': 39.024, 'final_std': 0.5443013871009339}], 'SR-Adam': [{'noise': 0.0, 'final_mean': 42.73799999999999, 'final_std': 1.0857513527507132}, {'noise': 0.05, 'final_mean': 41.498, 'final_std': 1.2034849396648055}, {'noise': 0.1, 'final_mean': 40.076, 'final_std': 0.5049197956111436}]}"
